#Auto Generated Topology File
#Topology Matrix:  10 * 10  Nodes
#Radio Range:  2.0
-n 100 

0   1   -50
0   2   -50
0   10   -50
0   11   -50
0   20   -50

1   0   -50
1   2   -50
1   3   -50
1   10   -50
1   11   -50
1   12   -50
1   21   -50

2   0   -50
2   1   -50
2   3   -50
2   4   -50
2   11   -50
2   12   -50
2   13   -50
2   22   -50

3   1   -50
3   2   -50
3   4   -50
3   5   -50
3   12   -50
3   13   -50
3   14   -50
3   23   -50

4   2   -50
4   3   -50
4   5   -50
4   6   -50
4   13   -50
4   14   -50
4   15   -50
4   24   -50

5   3   -50
5   4   -50
5   6   -50
5   7   -50
5   14   -50
5   15   -50
5   16   -50
5   25   -50

6   4   -50
6   5   -50
6   7   -50
6   8   -50
6   15   -50
6   16   -50
6   17   -50
6   26   -50

7   5   -50
7   6   -50
7   8   -50
7   9   -50
7   16   -50
7   17   -50
7   18   -50
7   27   -50

8   6   -50
8   7   -50
8   9   -50
8   17   -50
8   18   -50
8   19   -50
8   28   -50

9   7   -50
9   8   -50
9   18   -50
9   19   -50
9   29   -50

10   0   -50
10   1   -50
10   11   -50
10   12   -50
10   20   -50
10   21   -50
10   30   -50

11   0   -50
11   1   -50
11   2   -50
11   10   -50
11   12   -50
11   13   -50
11   20   -50
11   21   -50
11   22   -50
11   31   -50

12   1   -50
12   2   -50
12   3   -50
12   10   -50
12   11   -50
12   13   -50
12   14   -50
12   21   -50
12   22   -50
12   23   -50
12   32   -50

13   2   -50
13   3   -50
13   4   -50
13   11   -50
13   12   -50
13   14   -50
13   15   -50
13   22   -50
13   23   -50
13   24   -50
13   33   -50

14   3   -50
14   4   -50
14   5   -50
14   12   -50
14   13   -50
14   15   -50
14   16   -50
14   23   -50
14   24   -50
14   25   -50
14   34   -50

15   4   -50
15   5   -50
15   6   -50
15   13   -50
15   14   -50
15   16   -50
15   17   -50
15   24   -50
15   25   -50
15   26   -50
15   35   -50

16   5   -50
16   6   -50
16   7   -50
16   14   -50
16   15   -50
16   17   -50
16   18   -50
16   25   -50
16   26   -50
16   27   -50
16   36   -50

17   6   -50
17   7   -50
17   8   -50
17   15   -50
17   16   -50
17   18   -50
17   19   -50
17   26   -50
17   27   -50
17   28   -50
17   37   -50

18   7   -50
18   8   -50
18   9   -50
18   16   -50
18   17   -50
18   19   -50
18   27   -50
18   28   -50
18   29   -50
18   38   -50

19   8   -50
19   9   -50
19   17   -50
19   18   -50
19   28   -50
19   29   -50
19   39   -50

20   0   -50
20   10   -50
20   11   -50
20   21   -50
20   22   -50
20   30   -50
20   31   -50
20   40   -50

21   1   -50
21   10   -50
21   11   -50
21   12   -50
21   20   -50
21   22   -50
21   23   -50
21   30   -50
21   31   -50
21   32   -50
21   41   -50

22   2   -50
22   11   -50
22   12   -50
22   13   -50
22   20   -50
22   21   -50
22   23   -50
22   24   -50
22   31   -50
22   32   -50
22   33   -50
22   42   -50

23   3   -50
23   12   -50
23   13   -50
23   14   -50
23   21   -50
23   22   -50
23   24   -50
23   25   -50
23   32   -50
23   33   -50
23   34   -50
23   43   -50

24   4   -50
24   13   -50
24   14   -50
24   15   -50
24   22   -50
24   23   -50
24   25   -50
24   26   -50
24   33   -50
24   34   -50
24   35   -50
24   44   -50

25   5   -50
25   14   -50
25   15   -50
25   16   -50
25   23   -50
25   24   -50
25   26   -50
25   27   -50
25   34   -50
25   35   -50
25   36   -50
25   45   -50

26   6   -50
26   15   -50
26   16   -50
26   17   -50
26   24   -50
26   25   -50
26   27   -50
26   28   -50
26   35   -50
26   36   -50
26   37   -50
26   46   -50

27   7   -50
27   16   -50
27   17   -50
27   18   -50
27   25   -50
27   26   -50
27   28   -50
27   29   -50
27   36   -50
27   37   -50
27   38   -50
27   47   -50

28   8   -50
28   17   -50
28   18   -50
28   19   -50
28   26   -50
28   27   -50
28   29   -50
28   37   -50
28   38   -50
28   39   -50
28   48   -50

29   9   -50
29   18   -50
29   19   -50
29   27   -50
29   28   -50
29   38   -50
29   39   -50
29   49   -50

30   10   -50
30   20   -50
30   21   -50
30   31   -50
30   32   -50
30   40   -50
30   41   -50
30   50   -50

31   11   -50
31   20   -50
31   21   -50
31   22   -50
31   30   -50
31   32   -50
31   33   -50
31   40   -50
31   41   -50
31   42   -50
31   51   -50

32   12   -50
32   21   -50
32   22   -50
32   23   -50
32   30   -50
32   31   -50
32   33   -50
32   34   -50
32   41   -50
32   42   -50
32   43   -50
32   52   -50

33   13   -50
33   22   -50
33   23   -50
33   24   -50
33   31   -50
33   32   -50
33   34   -50
33   35   -50
33   42   -50
33   43   -50
33   44   -50
33   53   -50

34   14   -50
34   23   -50
34   24   -50
34   25   -50
34   32   -50
34   33   -50
34   35   -50
34   36   -50
34   43   -50
34   44   -50
34   45   -50
34   54   -50

35   15   -50
35   24   -50
35   25   -50
35   26   -50
35   33   -50
35   34   -50
35   36   -50
35   37   -50
35   44   -50
35   45   -50
35   46   -50
35   55   -50

36   16   -50
36   25   -50
36   26   -50
36   27   -50
36   34   -50
36   35   -50
36   37   -50
36   38   -50
36   45   -50
36   46   -50
36   47   -50
36   56   -50

37   17   -50
37   26   -50
37   27   -50
37   28   -50
37   35   -50
37   36   -50
37   38   -50
37   39   -50
37   46   -50
37   47   -50
37   48   -50
37   57   -50

38   18   -50
38   27   -50
38   28   -50
38   29   -50
38   36   -50
38   37   -50
38   39   -50
38   47   -50
38   48   -50
38   49   -50
38   58   -50

39   19   -50
39   28   -50
39   29   -50
39   37   -50
39   38   -50
39   48   -50
39   49   -50
39   59   -50

40   20   -50
40   30   -50
40   31   -50
40   41   -50
40   42   -50
40   50   -50
40   51   -50
40   60   -50

41   21   -50
41   30   -50
41   31   -50
41   32   -50
41   40   -50
41   42   -50
41   43   -50
41   50   -50
41   51   -50
41   52   -50
41   61   -50

42   22   -50
42   31   -50
42   32   -50
42   33   -50
42   40   -50
42   41   -50
42   43   -50
42   44   -50
42   51   -50
42   52   -50
42   53   -50
42   62   -50

43   23   -50
43   32   -50
43   33   -50
43   34   -50
43   41   -50
43   42   -50
43   44   -50
43   45   -50
43   52   -50
43   53   -50
43   54   -50
43   63   -50

44   24   -50
44   33   -50
44   34   -50
44   35   -50
44   42   -50
44   43   -50
44   45   -50
44   46   -50
44   53   -50
44   54   -50
44   55   -50
44   64   -50

45   25   -50
45   34   -50
45   35   -50
45   36   -50
45   43   -50
45   44   -50
45   46   -50
45   47   -50
45   54   -50
45   55   -50
45   56   -50
45   65   -50

46   26   -50
46   35   -50
46   36   -50
46   37   -50
46   44   -50
46   45   -50
46   47   -50
46   48   -50
46   55   -50
46   56   -50
46   57   -50
46   66   -50

47   27   -50
47   36   -50
47   37   -50
47   38   -50
47   45   -50
47   46   -50
47   48   -50
47   49   -50
47   56   -50
47   57   -50
47   58   -50
47   67   -50

48   28   -50
48   37   -50
48   38   -50
48   39   -50
48   46   -50
48   47   -50
48   49   -50
48   57   -50
48   58   -50
48   59   -50
48   68   -50

49   29   -50
49   38   -50
49   39   -50
49   47   -50
49   48   -50
49   58   -50
49   59   -50
49   69   -50

50   30   -50
50   40   -50
50   41   -50
50   51   -50
50   52   -50
50   60   -50
50   61   -50
50   70   -50

51   31   -50
51   40   -50
51   41   -50
51   42   -50
51   50   -50
51   52   -50
51   53   -50
51   60   -50
51   61   -50
51   62   -50
51   71   -50

52   32   -50
52   41   -50
52   42   -50
52   43   -50
52   50   -50
52   51   -50
52   53   -50
52   54   -50
52   61   -50
52   62   -50
52   63   -50
52   72   -50

53   33   -50
53   42   -50
53   43   -50
53   44   -50
53   51   -50
53   52   -50
53   54   -50
53   55   -50
53   62   -50
53   63   -50
53   64   -50
53   73   -50

54   34   -50
54   43   -50
54   44   -50
54   45   -50
54   52   -50
54   53   -50
54   55   -50
54   56   -50
54   63   -50
54   64   -50
54   65   -50
54   74   -50

55   35   -50
55   44   -50
55   45   -50
55   46   -50
55   53   -50
55   54   -50
55   56   -50
55   57   -50
55   64   -50
55   65   -50
55   66   -50
55   75   -50

56   36   -50
56   45   -50
56   46   -50
56   47   -50
56   54   -50
56   55   -50
56   57   -50
56   58   -50
56   65   -50
56   66   -50
56   67   -50
56   76   -50

57   37   -50
57   46   -50
57   47   -50
57   48   -50
57   55   -50
57   56   -50
57   58   -50
57   59   -50
57   66   -50
57   67   -50
57   68   -50
57   77   -50

58   38   -50
58   47   -50
58   48   -50
58   49   -50
58   56   -50
58   57   -50
58   59   -50
58   67   -50
58   68   -50
58   69   -50
58   78   -50

59   39   -50
59   48   -50
59   49   -50
59   57   -50
59   58   -50
59   68   -50
59   69   -50
59   79   -50

60   40   -50
60   50   -50
60   51   -50
60   61   -50
60   62   -50
60   70   -50
60   71   -50
60   80   -50

61   41   -50
61   50   -50
61   51   -50
61   52   -50
61   60   -50
61   62   -50
61   63   -50
61   70   -50
61   71   -50
61   72   -50
61   81   -50

62   42   -50
62   51   -50
62   52   -50
62   53   -50
62   60   -50
62   61   -50
62   63   -50
62   64   -50
62   71   -50
62   72   -50
62   73   -50
62   82   -50

63   43   -50
63   52   -50
63   53   -50
63   54   -50
63   61   -50
63   62   -50
63   64   -50
63   65   -50
63   72   -50
63   73   -50
63   74   -50
63   83   -50

64   44   -50
64   53   -50
64   54   -50
64   55   -50
64   62   -50
64   63   -50
64   65   -50
64   66   -50
64   73   -50
64   74   -50
64   75   -50
64   84   -50

65   45   -50
65   54   -50
65   55   -50
65   56   -50
65   63   -50
65   64   -50
65   66   -50
65   67   -50
65   74   -50
65   75   -50
65   76   -50
65   85   -50

66   46   -50
66   55   -50
66   56   -50
66   57   -50
66   64   -50
66   65   -50
66   67   -50
66   68   -50
66   75   -50
66   76   -50
66   77   -50
66   86   -50

67   47   -50
67   56   -50
67   57   -50
67   58   -50
67   65   -50
67   66   -50
67   68   -50
67   69   -50
67   76   -50
67   77   -50
67   78   -50
67   87   -50

68   48   -50
68   57   -50
68   58   -50
68   59   -50
68   66   -50
68   67   -50
68   69   -50
68   77   -50
68   78   -50
68   79   -50
68   88   -50

69   49   -50
69   58   -50
69   59   -50
69   67   -50
69   68   -50
69   78   -50
69   79   -50
69   89   -50

70   50   -50
70   60   -50
70   61   -50
70   71   -50
70   72   -50
70   80   -50
70   81   -50
70   90   -50

71   51   -50
71   60   -50
71   61   -50
71   62   -50
71   70   -50
71   72   -50
71   73   -50
71   80   -50
71   81   -50
71   82   -50
71   91   -50

72   52   -50
72   61   -50
72   62   -50
72   63   -50
72   70   -50
72   71   -50
72   73   -50
72   74   -50
72   81   -50
72   82   -50
72   83   -50
72   92   -50

73   53   -50
73   62   -50
73   63   -50
73   64   -50
73   71   -50
73   72   -50
73   74   -50
73   75   -50
73   82   -50
73   83   -50
73   84   -50
73   93   -50

74   54   -50
74   63   -50
74   64   -50
74   65   -50
74   72   -50
74   73   -50
74   75   -50
74   76   -50
74   83   -50
74   84   -50
74   85   -50
74   94   -50

75   55   -50
75   64   -50
75   65   -50
75   66   -50
75   73   -50
75   74   -50
75   76   -50
75   77   -50
75   84   -50
75   85   -50
75   86   -50
75   95   -50

76   56   -50
76   65   -50
76   66   -50
76   67   -50
76   74   -50
76   75   -50
76   77   -50
76   78   -50
76   85   -50
76   86   -50
76   87   -50
76   96   -50

77   57   -50
77   66   -50
77   67   -50
77   68   -50
77   75   -50
77   76   -50
77   78   -50
77   79   -50
77   86   -50
77   87   -50
77   88   -50
77   97   -50

78   58   -50
78   67   -50
78   68   -50
78   69   -50
78   76   -50
78   77   -50
78   79   -50
78   87   -50
78   88   -50
78   89   -50
78   98   -50

79   59   -50
79   68   -50
79   69   -50
79   77   -50
79   78   -50
79   88   -50
79   89   -50
79   99   -50

80   60   -50
80   70   -50
80   71   -50
80   81   -50
80   82   -50
80   90   -50
80   91   -50

81   61   -50
81   70   -50
81   71   -50
81   72   -50
81   80   -50
81   82   -50
81   83   -50
81   90   -50
81   91   -50
81   92   -50

82   62   -50
82   71   -50
82   72   -50
82   73   -50
82   80   -50
82   81   -50
82   83   -50
82   84   -50
82   91   -50
82   92   -50
82   93   -50

83   63   -50
83   72   -50
83   73   -50
83   74   -50
83   81   -50
83   82   -50
83   84   -50
83   85   -50
83   92   -50
83   93   -50
83   94   -50

84   64   -50
84   73   -50
84   74   -50
84   75   -50
84   82   -50
84   83   -50
84   85   -50
84   86   -50
84   93   -50
84   94   -50
84   95   -50

85   65   -50
85   74   -50
85   75   -50
85   76   -50
85   83   -50
85   84   -50
85   86   -50
85   87   -50
85   94   -50
85   95   -50
85   96   -50

86   66   -50
86   75   -50
86   76   -50
86   77   -50
86   84   -50
86   85   -50
86   87   -50
86   88   -50
86   95   -50
86   96   -50
86   97   -50

87   67   -50
87   76   -50
87   77   -50
87   78   -50
87   85   -50
87   86   -50
87   88   -50
87   89   -50
87   96   -50
87   97   -50
87   98   -50

88   68   -50
88   77   -50
88   78   -50
88   79   -50
88   86   -50
88   87   -50
88   89   -50
88   97   -50
88   98   -50
88   99   -50

89   69   -50
89   78   -50
89   79   -50
89   87   -50
89   88   -50
89   98   -50
89   99   -50

90   70   -50
90   80   -50
90   81   -50
90   91   -50
90   92   -50

91   71   -50
91   80   -50
91   81   -50
91   82   -50
91   90   -50
91   92   -50
91   93   -50

92   72   -50
92   81   -50
92   82   -50
92   83   -50
92   90   -50
92   91   -50
92   93   -50
92   94   -50

93   73   -50
93   82   -50
93   83   -50
93   84   -50
93   91   -50
93   92   -50
93   94   -50
93   95   -50

94   74   -50
94   83   -50
94   84   -50
94   85   -50
94   92   -50
94   93   -50
94   95   -50
94   96   -50

95   75   -50
95   84   -50
95   85   -50
95   86   -50
95   93   -50
95   94   -50
95   96   -50
95   97   -50

96   76   -50
96   85   -50
96   86   -50
96   87   -50
96   94   -50
96   95   -50
96   97   -50
96   98   -50

97   77   -50
97   86   -50
97   87   -50
97   88   -50
97   95   -50
97   96   -50
97   98   -50
97   99   -50

98   78   -50
98   87   -50
98   88   -50
98   89   -50
